#Name	ID	GM	Radius(km)	inertia	k2	k2r	td	J2	C21	C22	S21	S22	TidalDelayFactor	Geopotential	Ring	x	y	z	vx	vy	vz	alpha	delta	w	period(h)	xx	xy	xz	zx	zy	zz	wx	wy	wz
Helene	612	4.757419551776972E5	17.6	0.36	0	0	0	1.33750373245745E-1	0	1.425380710659896E-2	0	0	1	0	0	9.57691368660207E11	9.82427038736715E11	-5.52111169787579E10	-7.493483393293147E3	1.567564166989167E4	-4.488889516707006E3	40.85000000 	83.34000000 	245.12000000 	65.64481317 	-9.96624720357979E-1	3.706311129707656E-2	7.324952254014521E-2	8.20858541355809E-2	4.612124455913764E-1	8.8348457404895E-1	2.15803672648161E-6	1.212482034790085E-5	2.322600175201135E-5
Telesto	613	1.93E5	12.4	0.36	0	0	0	1.095817241993939E-1	0	3.380490934256973E-2	0	4.682100363337998E-4	1	0	0	9.5759877495023E11	9.82503312107967E11	-5.52415671268286E10	-1.068472109501964E4	1.657865785436749E4	-4.416032651754485E3	50.51000000 	84.06000000 	56.88000000 	45.30725559 	-9.5419101261114E-1	-2.211799609828609E-1	2.014917772807333E-1	8.54555888933358E-2	4.439197834128485E-1	8.9198238111612E-1	3.255715131789063E-6	1.700266562922158E-5	3.416343446865243E-5
Calypso	614	1.24E5	10.7	0.36	0	0	0	1.730200850315203E-1	0	3.158774373259055E-2	0	0	1	0	0	9.57262028498876E11	9.82184230196343E11	-5.504286528514743E10	3.648982604855244E3	4.237678129924749E3	7.293048087233235E1	36.41000000 	85.04000000 	153.51000000 	45.31288612 	1.91175277276663E-1	8.60381822787065E-1	-4.724353208385238E-1	1.113831043505266E-1	4.591880704877242E-1	8.81328610670844E-1	4.307970544667917E-6	1.774277221009512E-5	3.405596787965403E-5
Atlas	615	3.706118176942448E5	15.1	0.36	0	0	0	1.824838287621818E-1	0	1.698126704246708E-2	0	0	1	0	0	9.57207217496666E11	9.82514662809768E11	-5.521158130632422E10	-1.723625752061225E4	-4.769009550944256E3	7.149453307982602E3	40.58000000 	83.53000000 	137.88000000 	14.44077111 	8.04756431180616E-1	-5.542869898448945E-1	2.124453326437772E-1	8.54858920430211E-2	4.623770246817125E-1	8.82552915868559E-1	1.03270206347868E-5	5.585755413551592E-5	1.066171776459335E-4
Prometheus	616	1.070895671085887E7	43.1	0.36	0	0	0	1.687256024788023E-1	0	5.780298992773937E-2	0	0	1	0	0	9.57222358934773E11	9.82351946832927E11	-5.512778025223676E10	4.536276497799836E3	-3.81980933889094E3	4.542018704641945E3	40.58000000 	83.53000000 	296.14000000 	14.71166666 	6.780651634478644E-1	6.219550372742112E-1	-3.916625661556857E-1	8.5611810250559E-2	4.624133579150588E-1	8.82521673596373E-1	1.013894411481838E-5	5.47605846033836E-5	1.045126298981004E-4
Pandora	617	9.2576067673983E6	40.7	0.36	0	0	0	1.153363599123778E-1	2.412428475949814E-6	2.666293383352769E-2	6.80306135535715E-7	4.618474285444202E-5	1	0	0	9.57272615609917E11	9.82559075333597E11	-5.524121774883979E10	-2.289202486959497E4	2.770652993164668E3	3.731379545388751E3	40.58000000 	83.53000000 	162.92000000 	15.08408592 	2.933314955069435E-1	-8.58146388198145E-1	4.213566306184588E-1	8.46546024765612E-2	4.623287996239735E-1	8.82658302695779E-1	9.93057449971293E-6	5.420369998294733E-5	1.03473199835074E-4
Pan	618	2.8E5	14.1	0.36	0	0	0	1.353175298621039E-1	0	1.024189457178433E-2	0	0	1	0	0	9.57334688077109E11	9.8231997816933E11	-5.512192247385138E10	9.27124318300636E3	7.974585419756037E3	-2.094674957924875E3	40.60000000 	83.50000000 	48.80000000 	13.80094690 	-1.275434767150056E-1	8.83559695109014E-1	-4.506161634099638E-1	8.54833982898808E-2	4.624287053379136E-1	8.82526079555905E-1	1.081032057299799E-5	5.847921233070984E-5	1.116051227365735E-4
Methone	632	6.42E2	1.45	0.36	0	0	0	9.79228938738791E-2	0	4.11260483473113E-2	0	0	1	0	0	9.5746842844517E11	9.8232430089196E11	-5.513722525976392E10	1.322402877690198E3	1.603658089009616E4	-5.550790954549713E3	40.5890 	83.5370 	0.0000 	24.2295 	-7.83476605747622E-1	5.785053431938726E-1	-2.269272485673007E-1	8.58159521261807E-2	4.623988877935083E-1	8.82509428237458E-1	6.23958600819657E-6	3.361690089234362E-5	6.415475670548666E-5
Pallene	633	2.61E3	2.22	0.36	0	0	0	9.96470910045101E-2	4.92288276827707E-9	3.254549711060024E-2	-4.759273903568815E-8	1.713582529169385E-5	1	0	0	9.57324617121548E11	9.82250458329766E11	-5.508474160835134E10	5.951972770551795E3	6.565302788231586E3	-1.081178252284151E3	40.5890 	83.5370 	0.0000 	27.6899 	-2.915884490022129E-2	8.8697577944515E-1	-4.608944873197701E-1	8.85517666536512E-2	4.615698238151343E-1	8.82673145827936E-1	5.174531826627798E-6	2.696521813303842E-5	5.156612120673218E-5
Polydeuces	634	3.40E2	1.22	0.36	0	0	0	1.026273779747765E-1	1.755179520200409E-8	2.287278162864486E-2	2.036180994657397E-8	1.856265829024608E-5	1	0	0	9.57056277126284E11	9.8221104272827E11	-5.50372913064211E10	-3.666896900900375E2	9.58291006480046E1	2.998499910848127E3	40.5890 	83.5370 	0.0000 	65.6860 	7.635867570956392E-1	5.379761951529921E-1	-3.570950543439034E-1	8.45044585635942E-2	4.650153795343022E-1	8.8126028690702E-1	2.212209401998674E-6	1.217390600507444E-5	2.307089327772698E-5
